id,node_id,name,severity_tier,radius_meters,base_congestion_level
1,248,Zone_1_medium,medium,152.0,1.47
2,323,Zone_2_medium,medium,133.2,1.5
3,225,Zone_3_medium,medium,144.1,1.42
4,72,Zone_4_low,low,100.0,1.38
5,67,Zone_5_high,high,217.7,2.07
6,178,Zone_6_low,low,85.5,1.3
7,124,Zone_7_high,high,227.6,2.0
8,28,Zone_8_low,low,102.1,1.39
9,329,Zone_9_medium,medium,166.1,1.5
10,196,Zone_10_high,high,230.4,2.19
11,167,Zone_11_high,high,238.9,1.95
12,235,Zone_12_low,low,116.9,1.38
13,136,Zone_13_high,high,249.0,2.1
14,166,Zone_14_low,low,109.3,1.36
15,4,Zone_15_medium,medium,176.8,1.45
16,20,Zone_16_low,low,110.2,1.34
17,318,Zone_17_high,high,243.0,1.93
18,60,Zone_18_medium,medium,155.3,1.4
19,174,Zone_19_high,high,203.1,1.96
20,337,Zone_20_high,high,241.8,1.99
21,41,Zone_21_low,low,106.4,1.27
22,366,Zone_22_high,high,225.2,1.73
23,51,Zone_23_high,high,217.5,1.77
24,340,Zone_24_low,low,112.3,1.37
25,252,Zone_25_medium,medium,125.6,1.63
26,345,Zone_26_low,low,116.1,1.23
27,222,Zone_27_medium,medium,137.1,1.61
28,120,Zone_28_medium,medium,131.4,1.47
29,144,Zone_29_high,high,183.5,1.94
30,346,Zone_30_low,low,114.1,1.21
31,75,Zone_31_medium,medium,154.2,1.57
32,27,Zone_32_low,low,92.7,1.25
33,102,Zone_33_medium,medium,158.7,1.54
34,361,Zone_34_low,low,102.5,1.22
35,308,Zone_35_high,high,184.8,1.82
36,100,Zone_36_high,high,248.9,2.1
37,55,Zone_37_low,low,84.1,1.38
38,117,Zone_38_medium,medium,136.9,1.46
39,169,Zone_39_high,high,197.6,2.15
40,309,Zone_40_medium,medium,140.0,1.44
