day_type,hour,Total
weekday,0,42.44565217391305
weekday,1,42.58695652173913
weekday,2,43.619565217391305
weekday,3,47.27173913043478
weekday,4,95.58695652173913
weekday,5,112.48913043478261
weekday,6,170.30434782608697
weekday,7,168.44565217391303
weekday,8,169.65217391304347
weekday,9,139.79347826086956
weekday,10,128.43478260869566
weekday,11,111.0
weekday,12,112.30434782608695
weekday,13,133.4891304347826
weekday,14,138.90217391304347
weekday,15,122.8695652173913
weekday,16,176.8586956521739
weekday,17,175.93478260869566
weekday,18,164.79347826086956
weekday,19,119.32608695652173
weekday,20,113.18478260869566
weekday,21,119.3586956521739
weekday,22,42.55434782608695
weekday,23,42.65217391304348
weekend,0,44.28125
weekend,1,41.53125
weekend,2,40.34375
weekend,3,47.25
weekend,4,104.25
weekend,5,120.59375
weekend,6,185.59375
weekend,7,183.78125
weekend,8,187.84375
weekend,9,121.0625
weekend,10,108.59375
weekend,11,86.625
weekend,12,87.9375
weekend,13,120.5625
weekend,14,113.875
weekend,15,120.75
weekend,16,191.5625
weekend,17,195.75
weekend,18,177.03125
weekend,19,135.78125
weekend,20,130.21875
weekend,21,131.21875
weekend,22,44.5625
weekend,23,41.46875
