id,area_id,day_type,hour_start,hour_end,congestion_multiplier
1,1,weekday,8,11,1.67
2,1,weekday,17,20,1.59
3,1,weekend,17,21,1.63
4,2,weekday,8,11,1.85
5,2,weekday,17,20,1.53
6,2,weekend,17,21,1.71
7,3,weekday,8,11,1.81
8,3,weekday,17,20,1.66
9,3,weekend,17,21,1.37
10,4,weekday,8,11,1.65
11,4,weekday,17,20,1.44
12,4,weekend,12,15,1.55
13,5,weekday,8,11,2.34
14,5,weekday,17,20,2.43
15,5,weekend,12,15,2.48
16,6,weekday,8,11,1.59
17,6,weekday,17,20,1.64
18,6,weekend,12,15,1.23
19,7,weekday,8,11,2.23
20,7,weekday,17,20,2.36
21,7,weekend,12,15,1.95
22,8,weekday,8,11,1.67
23,8,weekday,17,20,1.44
24,8,weekend,17,21,1.56
25,9,weekday,8,11,1.63
26,9,weekday,17,20,1.57
27,9,weekend,12,15,1.67
28,10,weekday,8,11,2.69
29,10,weekday,17,20,2.52
30,10,weekend,12,15,2.38
31,11,weekday,8,11,2.07
32,11,weekday,17,20,2.17
33,11,weekend,12,15,2.31
34,12,weekday,8,11,1.63
35,12,weekday,17,20,1.58
36,12,weekend,12,15,1.39
37,13,weekday,8,11,2.25
38,13,weekday,17,20,2.25
39,13,weekend,17,21,1.94
40,14,weekday,8,11,1.76
41,14,weekday,17,20,1.58
42,14,weekend,12,15,1.49
43,15,weekday,8,11,1.68
44,15,weekday,17,20,1.71
45,15,weekend,17,21,1.71
46,16,weekday,8,11,1.63
47,16,weekday,17,20,1.5
48,16,weekend,17,21,1.36
49,17,weekday,8,11,2.07
50,17,weekday,17,20,1.97
51,17,weekend,12,15,2.06
52,18,weekday,8,11,1.7
53,18,weekday,17,20,1.42
54,18,weekend,12,15,1.27
55,19,weekday,8,11,2.12
56,19,weekday,17,20,2.25
57,19,weekend,17,21,2.19
58,20,weekday,8,11,2.14
59,20,weekday,17,20,2.27
60,20,weekend,12,15,1.85
61,21,weekday,8,11,1.43
62,21,weekday,17,20,1.6
63,21,weekend,12,15,1.39
64,22,weekday,8,11,2.11
65,22,weekday,17,20,2.15
66,22,weekend,12,15,1.66
67,23,weekday,8,11,1.87
68,23,weekday,17,20,2.02
69,23,weekend,17,21,1.63
70,24,weekday,8,11,1.41
71,24,weekday,17,20,1.64
72,24,weekend,17,21,1.24
73,25,weekday,8,11,1.75
74,25,weekday,17,20,1.83
75,25,weekend,12,15,1.89
76,26,weekday,8,11,1.23
77,26,weekday,17,20,1.37
78,26,weekend,17,21,1.4
79,27,weekday,8,11,1.96
80,27,weekday,17,20,1.99
81,27,weekend,17,21,1.68
82,28,weekday,8,11,1.5
83,28,weekday,17,20,1.79
84,28,weekend,12,15,1.46
85,29,weekday,8,11,2.48
86,29,weekday,17,20,2.25
87,29,weekend,12,15,2.04
88,30,weekday,8,11,1.23
89,30,weekday,17,20,1.52
90,30,weekend,12,15,1.43
91,31,weekday,8,11,1.59
92,31,weekday,17,20,1.61
93,31,weekend,17,21,1.68
94,32,weekday,8,11,1.5
95,32,weekday,17,20,1.37
96,32,weekend,12,15,1.17
97,33,weekday,8,11,1.97
98,33,weekday,17,20,1.97
99,33,weekend,12,15,1.67
100,34,weekday,8,11,1.42
101,34,weekday,17,20,1.41
102,34,weekend,12,15,1.23
103,35,weekday,8,11,1.98
104,35,weekday,17,20,2.06
105,35,weekend,17,21,1.8
106,36,weekday,8,11,2.43
107,36,weekday,17,20,2.52
108,36,weekend,17,21,2.48
109,37,weekday,8,11,1.49
110,37,weekday,17,20,1.75
111,37,weekend,17,21,1.31
112,38,weekday,8,11,1.61
113,38,weekday,17,20,1.76
114,38,weekend,17,21,1.54
115,39,weekday,8,11,2.18
116,39,weekday,17,20,2.56
117,39,weekend,17,21,1.96
118,40,weekday,8,11,1.86
119,40,weekday,17,20,1.51
120,40,weekend,12,15,1.6
